price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id
2495000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,468,18,1,8
2499900.0,4,1,9,2.0,0.0,1,1,0,1,1,7,10,1248,23,1,4
2500000.0,4,2,9,6.0,0.0,0,1,1,1,0,7,10,2277,24,1,4
2500000.0,3,2,7,6.0,845.0,0,1,0,1,1,7,10,2184,43,1,4
2500000.0,3,2,7,2.0,0.0,0,0,0,1,1,7,10,1100,22,1,4
2500000.0,3,3,7,2.0,0.0,0,0,1,0,1,8,10,930,33,1,4
2500000.0,4,2,9,2.0,0.0,0,1,1,1,0,7,10,1472,43,1,4
2500000.0,3,1,7,6.0,0.0,0,1,0,1,0,7,10,1480,36,1,4
2500000.0,2,2,5,4.0,0.0,0,1,0,0,1,8,10,1269,25,1,4
2500000.0,4,2,9,8.0,0.0,0,1,0,1,0,7,10,1620,44,1,4
2500000.0,3,2,7,4.0,0.0,0,0,0,1,1,7,10,967,21,1,4
2500000.0,2,2,5,0.0,0.0,0,1,0,0,0,7,10,951,19,1,4
2550000.0,2,1,5,2.0,0.0,0,0,1,0,0,7,10,1514,24,1,4
2550000.0,3,2,7,2.0,0.0,0,1,0,1,1,7,10,1317,18,1,4
2556500.0,3,2,7,4.0,0.0,0,1,0,1,0,7,10,688,15,1,4
2595000.0,3,1,7,3.0,925.0,1,1,0,1,1,7,10,850,22,1,4
2600000.0,2,2,5,5.0,93.0,0,1,1,1,1,9,10,1459,22,1,5
2600000.0,3,2,7,2.0,800.0,1,1,0,1,1,8,10,542,19,1,4
2600000.0,1,2,3,6.0,0.0,0,1,0,1,0,7,10,1545,21,1,4
2600000.0,4,1,9,2.0,0.0,1,1,0,0,1,7,10,2364,30,1,4
2600000.0,4,3,9,2.0,0.0,0,0,0,0,0,7,10,1506,22,1,4
2650000.0,2,2,5,4.0,0.0,1,1,1,1,1,9,10,1380,27,1,4
2650000.0,3,2,7,3.0,0.0,1,1,1,1,1,9,10,1037,24,1,4
2650000.0,4,3,9,6.0,0.0,0,1,1,1,0,7,10,2460,33,1,4
2690000.0,4,3,9,7.0,933.0,0,1,1,1,1,7,10,1769,58,1,4
2690000.0,4,3,9,4.0,0.0,0,1,0,1,1,7,10,989,27,1,4
2690000.0,4,3,9,8.0,933.0,0,1,1,1,1,7,10,2581,29,1,4
2690000.0,4,3,9,4.0,0.0,0,1,0,0,1,7,10,535,65,1,4
2690000.0,3,3,7,3.0,933.0,0,0,0,1,1,7,10,511,26,1,4
2690000.0,4,3,9,4.0,0.0,0,0,0,1,1,7,10,1332,28,1,4
2690000.0,4,3,9,8.0,0.0,1,1,1,1,1,7,10,2119,52,1,4
2695000.0,4,2,9,6.0,0.0,0,1,0,1,1,7,10,1053,19,1,4
2695000.0,4,4,9,2.0,0.0,0,1,0,1,1,7,10,813,22,1,4
2695000.0,4,3,9,6.0,0.0,0,1,1,1,1,7,10,865,30,1,4
2735000.0,1,1,3,0.0,152.0,0,0,0,0,1,7,10,2106,18,1,8
2750000.0,3,2,7,6.0,0.0,0,1,1,1,0,7,10,1977,26,1,4
2750000.0,3,3,7,6.0,0.0,0,1,0,1,0,7,10,1734,57,1,4
2750000.0,3,2,7,3.0,0.0,0,1,1,1,1,9,10,2192,23,1,4
2775000.0,3,2,7,8.0,0.0,0,1,0,0,1,7,10,620,36,1,4
2795000.0,4,3,9,6.0,0.0,0,1,0,1,0,7,10,1240,42,1,4
2795000.0,3,2,7,4.0,0.0,1,1,1,1,1,9,10,1393,25,1,4
2800000.0,1,1,3,0.0,0.0,0,0,0,0,1,8,10,1411,10,1,8
2800000.0,3,2,7,8.0,70.0,0,1,0,1,1,8,10,1826,18,1,4
2800000.0,3,2,7,8.0,70.0,0,1,0,1,1,8,10,1938,16,1,4
2800000.0,1,1,3,3.0,0.0,0,1,0,1,0,7,10,792,18,1,4
2850000.0,3,2,7,0.0,0.0,0,1,0,1,1,7,10,2925,32,1,4
2850000.0,3,2,7,4.0,0.0,0,1,0,1,1,8,10,809,34,1,4
2875000.0,3,2,7,2.0,0.0,0,1,0,1,1,7,10,1269,25,1,4
2890000.0,4,2,9,3.0,0.0,0,1,1,1,1,7,10,1781,22,1,4
2895000.0,5,2,11,4.0,0.0,0,1,0,1,1,7,10,658,23,1,4
2895000.0,5,2,11,2.0,0.0,0,1,1,0,1,7,10,734,38,1,4
2895000.0,5,2,11,1.0,0.0,0,1,0,0,1,7,10,1091,39,1,4
2895000.0,3,2,7,2.0,0.0,0,1,0,1,0,7,10,958,18,1,4
2895000.0,5,3,11,2.0,0.0,1,1,1,1,1,7,10,1443,37,1,4
2900000.0,1,1,3,0.0,0.0,0,0,1,0,1,9,10,1053,21,1,8
2900000.0,3,2,7,5.0,0.0,0,1,0,1,1,9,10,974,20,1,4
2950000.0,1,1,3,0.0,945.0,0,1,0,0,0,7,10,3631,46,1,11
2950000.0,1,1,3,0.0,317.0,0,1,0,0,0,7,10,2146,22,1,11
2950000.0,3,2,7,4.0,0.0,0,1,0,1,1,9,10,847,34,1,4
2950000.0,3,2,7,6.0,0.0,0,1,0,1,1,9,10,1058,16,1,4
2950000.0,3,2,7,3.0,0.0,1,1,0,1,1,9,10,1146,14,1,4
2950000.0,4,2,9,4.0,0.0,0,1,0,1,0,7,10,1049,21,1,4
2970000.0,5,3,11,8.0,400.0,0,1,1,1,1,7,10,1545,27,1,4
2970000.0,2,2,5,3.0,0.0,1,1,0,1,1,7,10,1199,25,1,4
2970000.0,5,3,11,8.0,400.0,0,1,1,1,1,7,10,1692,67,1,4
2970000.0,5,3,11,8.0,400.0,0,1,1,1,1,7,10,2268,62,1,4
2995000.0,3,3,7,4.0,0.0,0,1,1,1,0,7,10,996,27,1,4
2995000.0,3,2,7,5.0,0.0,1,1,1,0,1,8,10,792,27,1,4
