price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id,suburb,city,listing_number,listing_url
1895000.0,3,3,7,6.0,0.0,1,1,1,1,1,7,10,1215,21,1,4,Perlemoenbaai,Gansbaai,P24-116797601,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116797601
1895000.0,3,3,7,5.0,500.0,0,1,0,1,1,7,10,2028,21,1,4,Perlemoenbaai,Gansbaai,P24-116785583,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116785583
1900000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,564,11,1,8,Fisherhaven,Hermanus,P24-116791255,https://www.property24.com/for-sale/fisherhaven/hermanus/western-cape/10544/116791255
1920000.0,2,1,5,0.0,0.0,0,1,0,0,0,7,10,1321,13,1,4,Villiersdorp,Villiersdorp,P24-116839980,https://www.property24.com/for-sale/villiersdorp/villiersdorp/western-cape/10613/116839980
1950000.0,3,2,7,6.0,0.0,0,0,1,1,1,9,10,628,17,1,4,Hawston,Hermanus,P24-116618638,https://www.property24.com/for-sale/hawston/hermanus/western-cape/7854/116618638
1950000.0,2,1,5,0.0,0.0,0,1,0,1,0,7,10,753,37,1,4,Napier,Napier,P24-116783902,https://www.property24.com/for-sale/napier/napier/western-cape/7877/116783902
1980000.0,3,2,7,4.0,0.0,0,1,0,1,1,8,10,1113,18,1,4,Bettys Bay,Bettys Bay,P24-116828302,https://www.property24.com/for-sale/bettys-bay/bettys-bay/western-cape/7823/116828302
1985000.0,6,2,13,6.0,0.0,0,0,0,0,0,7,10,1220,37,1,4,Grabouw,Grabouw,P24-116753849,https://www.property24.com/for-sale/grabouw/grabouw/western-cape/16681/116753849
1995000.0,3,3,7,2.0,0.0,0,0,0,1,1,7,10,1512,13,1,4,Pringle Bay,Pringle Bay,P24-109403503,https://www.property24.com/for-sale/pringle-bay/pringle-bay/western-cape/10846/109403503
1995000.0,3,3,7,3.0,0.0,0,1,0,1,0,7,10,417,15,1,4,Bot River Avenues,Bot River,P24-116773924,https://www.property24.com/for-sale/bot-river-avenues/bot-river/western-cape/33592/116773924
1995000.0,1,1,3,0.0,977.0,0,0,0,0,1,8,10,851,9,1,8,Kleinmond Central,Kleinmond,P24-116796442,https://www.property24.com/for-sale/kleinmond-central/kleinmond/western-cape/16691/116796442
1999000.0,3,2,7,6.0,0.0,0,1,0,1,1,7,10,1405,32,1,4,De Kelders,Gansbaai,P24-116835337,https://www.property24.com/for-sale/de-kelders/gansbaai/western-cape/12117/116835337
2100000.0,2,1,5,6.0,0.0,0,1,1,1,1,7,10,1910,52,1,4,Pearly Beach,Gansbaai,P24-116791876,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116791876
2100000.0,2,1,5,2.0,0.0,0,1,1,1,1,7,10,3563,24,1,4,Pearly Beach,Gansbaai,P24-116801861,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116801861
2100000.0,2,1,5,6.0,0.0,0,1,1,1,1,7,10,1460,24,1,4,Pearly Beach,Gansbaai,P24-116754345,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116754345
2100000.0,3,3,7,4.0,0.0,0,1,0,1,0,7,10,1585,20,1,4,Suurbraak,Swellendam,P24-116754245,https://www.property24.com/for-sale/suurbraak/swellendam/western-cape/7600/116754245
2100000.0,1,1,3,0.0,828.0,0,0,1,0,1,8,10,1107,25,1,8,Stanford,Stanford,P24-116727820,https://www.property24.com/for-sale/stanford/stanford/western-cape/7858/116727820
2150000.0,1,1,3,0.0,1141.0,0,0,0,0,1,8,10,2496,10,1,11,Kleinmond Rural,Kleinmond,P24-116749820,https://www.property24.com/for-sale/kleinmond-rural/kleinmond/western-cape/16572/116749820
2150000.0,2,2,5,4.0,0.0,0,1,0,1,0,7,10,1792,41,1,4,Baardskeerdersbos,Baardskeerdersbos,P24-116835251,https://www.property24.com/for-sale/baardskeerdersbos/baardskeerdersbos/western-cape/7878/116835251
2154000.0,3,2,7,3.0,0.0,0,1,0,1,0,7,10,2183,27,1,4,Grabouw,Grabouw,P24-116814338,https://www.property24.com/for-sale/grabouw/grabouw/western-cape/16681/116814338
